RN:,CU:,NC:,SR:,CS:,PL:,SC:,ID:,AG:,IA:,GS:,GA:,OD:,NT:,DA:,IP:,AP:,BH:,OS:,NA:,GB:,GC:,OT:,SH:,AU:,LO:,HY:,RC:,RG:,SL:,ST:,AvgdB,MaxdB,AvgAvg,AvgMax,AvgMass,Link if applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56018002,10:00.00 B10:00 175.587,11A,8000,3.895,Crown/ K-H H3.5,N,,,,Eubalaena glacialis AA3A | Ship noise X,ANWAA3A ANWX,3-Apr-1956 AA3A X | AprAA3A 1956AA3A | AprX 1956X,"AA3A X Taped streamed for 10 min. BS=1404702, ES=1435862, BT=2:55.587, ET=2:59.482 One groan. Good cut. Ship generator and engine noise occurs consistently at 60 Hz and at 760 Hz.",9-Jul-93,,,,Megaptera novaeangliae AC2A,1 AA3A,"Vineyard Sound, Mass. AA3A X",N41AA3A W071AA3A | N41X W071X,1420,Risk,WES,"CD #1, 2 | Shiv | CD# 145/Right Whale CD",,Ship noise,AX-58 hydrophones | WHOI suitcase amplifier | Magnecorder tape recorder,,FMAA3A | NLX | Moan AA3A | Ship noise X,91.2,101.1,92.5375,103.8375,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89514017,3980 B23.75 21.99,21B,81920,1.737,JVC L3,S 5,FB153 #50 Blacktip Doubledip BD19D,F??FB153 F????FB153,FCFB147 FCFB145 | FFFB147 FFFB149 | FFFB145 FFFB149 | FCFB153 FCFB150,Tursiops truncatus BD19D,ASWBD19D,21-Jun-1989 BD19D | 22-Jun-1989 BD19D | 1989BD19D JunBD19D,BD19D Tursiops truncatus This is FB153's signature whistle. JSM.,14-Aug-91,FB147 #?? BD19D | FB145 #?? BD19D | FB149 #?? BD19D | FB153 #50 Blacktip Doubledip BD19D | FB150 #?? BD19D,F??FB147 F????FB147 | F??FB145 F????FB145 | F??FB149 F????FB149 | F??FB153 F????FB153 | M05FB150 M1984FB150,,,1 BD19D,"Sarasota, Florida BD19D",,,SM,Laela Sayigh,"CD #9, 10 | Shiv",,,Panasonic VHS AG-6400 | Tyack suction cup hydrophones,,"NLBD19D BSBD19D | whistles, clicks BD19D",24
56018004,10:00.00 B10:00 217.566,11A,8000,2.244,Crown/ K-H H3.5,N,,,,Eubalaena glacialis AA3A | Ship noise X,ANWAA3A ANWX,3-Apr-1956 AA3A X | AprAA3A 1956AA3A | AprX 1956X,"AA3A X Taped streamed for 10 min. BS=1740531, ES=1758480, BT=3:37.566, ET=3:39.810 One groan. Good cut. Ship generator and engine noise occurs consistently at 60 Hz and at 760 Hz.",9-Jul-93,,,,Megaptera novaeangliae AC2A,1 AA3A,"Vineyard Sound, Mass. AA3A X",N41AA3A W071AA3A | N41X W071X,1420,Risk,WES,"CD #1, 2 | Shiv | CD# 145/Right Whale CD",,Ship noise,AX-58 hydrophones | WHOI suitcase amplifier | Magnecorder tape recorder,,FMAA3A | NLX | Moan AA3A | Ship noise X,91.8,101.8,92.5375,103.8375,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7202100Q,199 B190.0 .08125,11A,10240,3.781,Crown/ Kay,OTF 4,,,,Balaena mysticetus AA1A,INEAA1A,06-Apr-1972 AA1A | AprAA1A 1972AA1A,AA1A CC2A Bowhead sweep sound.,17-Aug-92,,,,,1+ AA1A,Bering Strait AA1A,N66AA1A W169AA1A,,UN,Gene Bloom,"CD #9, 10 | Shiv-copy",,,Unmanned hydrophones,,NLAA1A | FMAA1A | Sweep AA1A | Song AA1A | Moan AA1A,2
56025001,16:46.036 B17:00 222.507,11A,10200,2.267,Crown K-H/ H5.0,OTF,,,,Eubalaena glacialis AA3A | Ship noise X,ANWAA3A ANWX,6-Apr-1956 AA3A | AprAA3A 1956AA3A,AA3A Ship noise occurs consistently at approx. 796 Hz. Groan.,2-Jul-93,,,,Megaptera novaeangliae AC2A,1 AA3A,"Vineyard Sound, Ma. AA3A",N41AA3A W071AA3A,1223,RISK,WES,"CD #1, 2 | Shiv | CD# 145/Right Whale CD",,,AX-58 hydrophones | WHOI suitcase amplifier | Magnecorder tape recorder,,FMAA3A | NLX | Groan AA3A | Ship noise X,93.7,102.1,92.5375,103.8375,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7801800H,556 B190.0 165.6,11A,10240,4.825,Crown/Kay,OTF,,,,Balaena mysticetus AA1A | Erignathus barbatus CC2A,PNWAA1A PNWCC2A,10-May-1978 AA1A | 10-May-1978 CC2A | MayAA1A 1978AA1A | MayCC2A 1978CC2A,"AA1A CC2A High level Erignathus throughout. Some good bowhead sounds, but no obvious pattern. Copy of Johnson's tape #13/1 and 13/2. One, possibly two bowheads > 2000 m. Generator noise",11-Sep-92,,,,,1+ AA1A | 3+ CC2A,"Barrow, Alaska AA1A CC2A",N71AA1A W157AA1A | N71CC2A W157CC2A,,IC,Jim Johnson,"CD #9, 10 | Shiv-copy",,,Uher 12 tape recorder,,BLAA1A | FMAA1A | FMCC2A | Moan AA1A | Warble CC2A,11
56026002,17:00.385 B17:00 12.280,11A,10200,4.568,Crown K-H/ H4.8,OTF,,,,Eubalaena glacialis AA3A | Ship noise X,ANWAA3A ANWX,6-Apr-1956 AA3A | AprAA3A 1956AA3A | AprX 1956X,AA3A ET=16.848 Groan. Good cut. Ship noise at approx. 796 Hz.,7-Jul-93,,,,Megaptera novaeangliae AC2A,1 AA3A,"Vineyard Sound, Ma. AA3A X",N42AA3A W071AA3A | N42X W071X,1240,RISK,WES,"CD #1, 2 | Shiv | CD# 145/Right Whale CD",,,AX-58 hydrophones | WHOI suitcase amplifier | Magnecorder tape recorder,,FMAA3A | NLX | Groan AA3A | Ship noise X,92.3,103.4,92.5375,103.8375,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7801800J,556 B190.0 174.6,11A,10240,4.825,Crown/Kay,OTF,,,,Balaena mysticetus AA1A | Erignathus barbatus CC2A,PNWAA1A PNWCC2A,10-May-1978 AA1A | 10-May-1978 CC2A | MayAA1A 1978AA1A | MayCC2A 1978CC2A,"AA1A CC2A High level Erignathus throughout. Some good bowhead sounds, but no obvious pattern. Copy of Johnson's tape #13/1 and 13/2. One, possibly two bowheads > 2000 m. Generator noise",11-Sep-92,,,,,1+ AA1A | 3+ CC2A,"Barrow, Alaska AA1A CC2A",N71AA1A W157AA1A | N71CC2A W157CC2A,,IC,Jim Johnson,"CD #9, 10 | Shiv-copy",,,Uher 12 tape recorder,,BLAA1A | FMAA1A | FMCC2A | Moan AA1A | Warble CC2A,12
81014034,1140 B7:30 86.662,11D,14900,3.002,Crown-4CH/K-H H6.5,N,,,,Eubalaena glacialis AA3A,ANWAA3A,18-Sep-1981 AA3A | SepAA3A 1981AA3A,AA3A From streamed file 81014F.KAY (last 7:30 of tape; cue 738-1140). Moan.,13-Aug-96,,,,Phocoena phocoena BF2A,1 AA3A,"Bay of Fundy, near Wolves Is. AA3A",N45AA3A W066AA3A,,SM,Scott Kraus,Shiv | Optical Disk #77 | CD# 45 and 46 | CD# 145/Right Whale CD,12,"Flat, calm, sunny",Ithaco 602M108 hydrophones | Ithaco 450 amplifiers | WHOI/PEMTEK tape recorders,,PUAA3A | FMAA3A | Moan AA3A,92.6,108.2,92.5375,103.8375,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800600G,0 B5:00 4:16.262,11A,"10,000",5.165,Crown-4CH/K-H H4.0,N,,,,Balaena mysticetus AA1A,PNWAA1A,03-Oct-1988 AA1A | OCTAA1A 1988AA1A,"AA1A From streamed file 88006A.kay (long tape streamed in segments). Part of song. Growl, squeal.",3-Aug-95,,,Courtship AA1A,,1+ AA1A,"Bailie Is., Beaufort Sea AA1A",,,J MATTSON,BBN (Gogas),"CD#7, 8 | Shiv",15,Flat,Sonobuoy system (SSQ-57),,BLAA1A | FMAA1A | PUAA1A | SOAA1A | Squeal AA1A | Growl AA1A | Song AA1A,24
8101403B,1140 B7:30 122.697,11D,14900,2.549,Crown-4CH/K-H H6.5,N,,,,Eubalaena glacialis AA3A,ANWAA3A,18-Sep-1981 AA3A | SepAA3A 1981AA3A,AA3A From streamed file 81014F.KAY (last 7:30 of tape; cue 738-1140). Moan.,13-Aug-96,,,,Phocoena phocoena BF2A,1 AA3A,"Bay of Fundy, near Wolves Is. AA3A",N45AA3A W066AA3A,,SM,Scott Kraus,Shiv | Optical Disk #77 | CD# 45 and 46 | CD# 145/Right Whale CD,12,"Flat, calm, sunny",Ithaco 602M108 hydrophones | Ithaco 450 amplifiers | WHOI/PEMTEK tape recorders,,PUAA3A | FMAA3A | Moan AA3A,94,107.8,92.5375,103.8375,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88006013,114 B5:00 1:13.533,11A,"10,000",3.691,Crown-4CH/K-H H4.0,OTF,,,,Balaena mysticetus AA1A,PNWAA1A PNWX,03-Oct-1988 AA1A X | OCTAA1A 1988AA1A | OctX 1988X,AA1A X From streamed file 88006B.kay (long tape streamed in segments). Part of song. Squeal. Unknown X.,3-Aug-95,,,Courtship AA1A,,1 AA1A,"Bailie Is., Beaufort Sea AA1A",,,J MATTSON,BBN (Gogas),"CD#7, 8 | Shiv",15,Flat,Sonobuoy system (SSQ-57),,PUAA1A | FMAA1A | SOAA1A | BSX | Squeal AA1A | Song AA1A | Unknown X,41
8101403Z,1140 B7:30 429.638,11D,14900,2.157,Crown-4CH/K-H H6.5,N,,,,Eubalaena glacialis AA3A,ANWAA3A,18-Sep-1981 AA3A | SepAA3A 1981AA3A,AA3A From streamed file 81014F.KAY (last 7:30 of tape; cue 738-1140). Moan. Good cut.,13-Aug-96,,,,Phocoena phocoena BF2A,1 AA3A,"Bay of Fundy, near Wolves Is. AA3A",N45AA3A W066AA3A,,SM,Scott Kraus,Shiv | Optical Disk #77 | CD# 45 and 46 | CD# 145/Right Whale CD,12,"Flat, calm, sunny",Ithaco 602M108 hydrophones | Ithaco 450 amplifiers | WHOI/PEMTEK tape recorders,,PUAA3A | FMAA3A | Moan AA3A,92.3,104.6,92.5375,103.8375,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83006003,151 B23.75 17.35,11D,81920,3.781,Crown/ Kay,OTF,,,,Stenella clymene BD15B,ASWBD15B,31-Oct-1983 BD15B | OctBD15B 1983BD15B,BD15B Good whistles and clicks. Many modulated whistles; clicks in bkgnd.,27-Feb-92,,,,,5+ BD15B,St. Lucia BD15B,N14BD15B W061BD15B,,IDA Z,WAW,"CD #9, 10 | Shiv",10,,Ithaco 602M108 hydrophones | Ithaco 450 amplifiers | WHOI/PEMTEK tape recorder,,BSBD15B | FMBD15B | Whistles BD15B | Clicks BD15B,3
7702800V,180 B23.75 18.31,21B,81920,1.387,Crown - 4 CH,OTF,,,,Globicephala melaena BE3C | Physeter catodon BA2A,ANWBE3C ANWBA2A,11-Oct-1977 BE3C BA2A | OctBE3C 1977BE3C | OctBA2A 1977BA2A,BE3C BA2A Tape #8: Long upsweep with sperm whale clicks in background. Good cut. Similar to 00N.,22-Jun-93,,,,Orcinus orca BE7A,1 BE3C,W of Browns Bank BE3C BA2A,N41BE3C W066BE3C | N41BA2A W066BA2A,1422,Maruffa,WAW,"CD #3, 4 | Shiv",20 50,"Windy, heavy seas","WHOI/Pemtek tape recorder, Ithaco 602M108 hydrophones, Ithaco 450 amplifiers",,FMBE3C | BSBA2A | Whistle BE3C | Clicks BA2A,92.7,106.8,93,107.64,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300600F,274 B23.75 16.63,11D,81920,3.281,Crown/ Kay,OTF,,,,Stenella clymene BD15B,ASWBD15B,31-Oct-1983 BD15B | OctBD15B 1983BD15B,BD15B Good cut. Two modulated whistles; pulsed clicks in bkgnd.,27-Feb-92,,,,,4 BD15B,St. Lucia BD15B,N14BD15B W061BD15B,,IDA Z,WAW,"CD #9, 10 | Shiv",10,,Ithaco 602M108 hydrophones | Ithaco 450 amplifiers | WHOI/PEMTEK tape recorders,,BSBD15B | PUBD15B | FMBD15B | Whistles BD15B | Clicks BD15B,12
7702801F,218 B23.75 17.92,21B,81920,1.728,Crown - 4 CH,OF,,,,Globicephala melaena BE3C | Physeter catodon BA2A,ANWBE3C ANWBA2A,11-Oct-1977 BE3C BA2A | OctBE3C 1977BE3C | OctBA2A 1977BA2A,BE3C BA2A Tape #8: Modulated whistle and sperm whale clicks. Good cut.,22-Jun-93,,,,Orcinus orca BE7A,1 BE3C,W of Browns Bank BE3C BA2A,N41BE3C W066BE3C | N41BA2A W066BA2A,1422,Maruffa,WAW,"CD #3, 4 | Shiv",20 50,"Windy, heavy seas","WHOI/Pemtek tape recorder, Ithaco 602M108 hydrophones, Ithaco 450 amplifiers",,FMBE3C | BSBA2A | Clicks BA2A | Whistle BE3C,93.3,106.6,93,107.64,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300602M,431 B12:00.00 437.519,11D,166600,3.183,Pemtek 301/ K-H L0.2 H50.0,OTF,,,,Stenella clymene BD15B,ASWBD15B,31-Oct-1983 BD15B | OctBD15B 1983BD15B,"BD15B Clicks, pulsed clicks + whistle. Good cut.",2-Oct-96,,,,,15+ BD15B,St. Lucia BD15B,N14BD15B W061BD15B,,IDA Z,W.A.Watkins,"CD #16, 17 | Shiv | Optical Disk#78",10,,Ithaco 602M108 hydrophones | Ithaco 450 amplifiers | WHOI/PEMTEK tape recorders,,BSBD15B | PUBD15B | FMBD15B | Whistle BD15B | Pulsed clicks BD15B | Click BD15B,24
9101200B,506 B23.75 8.219,41D,81920,1.507,Crown/ Kay,OTF,,,,Peponocephala electra BD10A | Physeter catodon BA2A,ASWBD10A ASWBA2A,27-Oct-1991 BD10A BA2A | 1991BD10A OctBD10A | 1991BA2A OctBA2A,BD10A BA2A Pulsed click bursts. Sp. wh. in bckgnd. Good cut.,19-Oct-92,,,,,2 BD10A | 1+ BA2A,"3-4 mi. off Roseau, Dominica BD10A BA2A",N15BD10A W061BD10A | N15BA2A W061BA2A,1138 - 1230 BD10A BA2A,Abel-J,WAW,"CD #9, 10 | Shiv","10, 10, 10, 100",Silent ship; inverter working,"Ithaco 602M108 hydrophones, Ithaco 451 amplifiers, WHOI/Pemtek tape recorder",,BSBD10A | PUBD10A | BSBA2A | Clicks BD10A BA2A,86.7,102,93,107.64,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300604S,0.382-21.142,11B,60600,20.759,Crown/ K-H L28.0,OTF,,,,Stenella clymene BD15B | Water X,ASWBD15B ASWX,31-Oct-1983 BD15B X | OctBD15B 1983BD15B | OCTX 1983X,BD15B X Clicks + whistle. Water splash. Cut made from 830006011 and cropped for analysis in Accustat. Cut again made with greater HP filtering.,20-Jun-03,,,,,5+ BD15B,St. Lucia BD15B X,N14BD15B W061BD15B | N14X W061X,,IDA Z,W.A.Watkins,Shiv | Sound Cut 1 CD | 'Best of Stenella clymene' CD,10,,Ithaco 602M108 hydrophones | Ithaco 450 amplifiers | WHOI/PEMTEK tape recorders,,BSBD15B | FMBD15B | BLX | Water splash X | Whistle BD15B | Click BD15B,49
9101200K,701 B23.75 8.394,41D,81920,1.048,Crown/ Kay,OTF,,,,Peponocephala electra BD10A | Physeter catodon BA2A,ASWBD10A ASWBA2A,27-Oct-1991 BD10A BA2A | 1991BD10A OctBD10A | 1991BA2A OctBA2A,BD10A BA2A One whistle and bckgnd. sp. wh. clicks.,19-Oct-92,,,,,2+ BD10A | 1+ BA2A,"3-4 mi. off Roseau, Dominica BD10A BA2A",N15BD10A W061BD10A | N15BA2A W061BA2A,1138 - 1230 BD10A BA2A,Abel-J,WAW,"CD #9, 10 | Shiv","10, 10, 10, 100",Silent ship; inverter working,"Ithaco 602M108 hydrophones, Ithaco 451 amplifiers, WHOI/Pemtek tape recorder",,NLBD10A | BSBD10A | BSBA2A | Clicks BD10A BA2A | Whistle BD10A,93.1,114.7,93,107.64,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8300604T,3:7.250-3:31.356,11B,60600,24.106,Crown/ K-H L28.0,OTF,,,,Stenella clymene BD15B | Water X,ASWBD15B ASWX,31-Oct-1983 BD15B X | OctBD15B 1983BD15B | OCTX 1983X,BD15B X Clicks + whistle. Water splash. Cut made from 830006011 and cropped for analysis in Accustat. Cut again made with greater HP filtering.,20-Jun-03,,,,,5+ BD15B,St. Lucia BD15B X,N14BD15B W061BD15B | N14X W061X,,IDA Z,W.A.Watkins,Shiv | Sound Cut 1 CD | 'Best of Stenella clymene' CD,10,,Ithaco 602M108 hydrophones | Ithaco 450 amplifiers | WHOI/PEMTEK tape recorders,,BSBD15B | FMBD15B | BLX | Water splash X | Whistle BD15B | Click BD15B,50
84021003,53 B47.5 24.40,41D,40960,3.781,Pemtek/ Kay,OTF,,,,Physeter catodon BA2A | Stenella attenuata BD15A,ASWAC2A ASWBA2A,22-Mar-1984 BA2A BD15A | MarBA2A 1984BA2A | MarBD15A 1984BD15A,BA2A Sperm whale clicks and Stenella whistles in the background.,26-Feb-92,,,,Megaptera novaeangliae AC2A,1 BA2A | 3 BD15A,Dominica BA2A BD15A,N15BA2A W061BA2A | N15BD15A W061BD15A,,IDA-Z,WAW,"CD #9, 10 | Shiv",10 | 100,"Tanker in area, French frigate, helicopter, high sea noise.",Ithaco 602M108 hydrophones | Ithaco 450 amplifiers | WHOI/PEMTEK tape recorder,,BSBA2A | FMBD15A | Clicks BA2A | Whistles BD15A,99.2,108.1,93,107.64,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500303M,1088 B28:00 16:27.764,41A,81600,2.038,Crown-4CH/ K-H L3.7,OTF,,,,Delphinus delphis BD3B | Electrical noise X,ANWBD3B ANWX,8-Sep-1975 BD3B X | SepBD3B 1975BD3B | SepX 1975X,BD3B X Session 2. Clicks; whistle. Electrical noise. Good cut.,24-Feb-94,,,,,3+ BD3B,"SSE Sable I., Canada BD3B X",N43BD3B W059BD3B,0951 - 1003,Maruffa,WAW,"CD #3, 4 | Shiv",,Perfect array; electrical noise,"WHOI Pemtek tape recorder, Ithaco 602M108 hydrophones, Ithaco 450 amplifiers",,BSBD3B | FMBD3B | NLX | Electrical noise X | Clicks BD3B | Whistle BD3B,18
79002004,76 B56.0 6.756,21B,5120,1.891,Pemtek/ Kay,N,,,,Eubalaena australis AA3B,PSWAA3B,OctAA3B 1977AA3B,AA3B Good broad pulsed sound.,23-Jan-92,,,,,1 AA3B,"Golfo San Jose, Argentina AA3B",S42AA3B W065AA3B,,,C. W. Clark,"CD #9, 10 | Shiv",,,,,BLAA3B PUAA3B | Moan AA3B,82.1,100.6,83.3625,103.1125,"23,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75003044,1088 B28:00 17:47.420,41A,81600,4.346,Crown-4CH/ K-H L3.7,OTF,,,,Delphinus delphis BD3B | Electrical noise X,ANWBD3B ANWX,8-Sep-1975 BD3B X | SepBD3B 1975BD3B | SepX 1975X,BD3B X Session 2. Pulsed clicks; whistle. Electrical noise.,24-Feb-94,,,,,4+ BD3B,"SSE Sable I., Canada BD3B X",N43BD3B W059BD3B,0951 - 1003,Maruffa,WAW,"CD #3, 4 | Shiv",,Perfect array; electrical noise,"WHOI Pemtek tape recorder, Ithaco 602M108 hydrophones, Ithaco 450 amplifiers",,BSBD3B | FMBD3B | PUBD3B | NLX | Electrical noise X | Whistle BD3B | Pulsed clicks BD3B,27
